order_id,product_id,quantity,sales,profit
O00001,P0005,5,4250,847.51
O00001,P0054,3,687,166.69
O00001,P0006,5,3960,341.16
O00002,P0037,4,2752,334.13
O00002,P0009,5,7295,667.75
O00003,P0085,4,5412,1312.3
O00003,P0027,5,1760,469.62
O00003,P0098,5,7080,1144.0
O00004,P0009,1,1459,409.02
O00004,P0080,1,297,53.64
O00004,P0079,2,1914,528.87
O00005,P0075,3,531,51.0
O00005,P0056,2,1804,340.88
O00005,P0076,5,2675,590.89
O00006,P0079,1,957,270.7
O00007,P0070,1,569,161.23
O00008,P0097,2,2464,554.67
O00009,P0006,2,1584,470.7
O00009,P0025,2,630,101.93
O00010,P0045,1,524,59.9
O00010,P0057,5,5800,778.12
O00011,P0009,3,4377,1199.42
O00011,P0067,4,5692,1307.38
O00011,P0072,3,1086,135.83
O00012,P0048,3,4431,753.38
O00012,P0090,1,673,115.42
O00012,P0056,4,3608,587.99
O00013,P0038,4,5272,715.69
O00014,P0058,4,924,82.42
O00015,P0031,2,2862,646.39
O00015,P0080,2,594,56.74
O00016,P0064,1,814,93.58
O00017,P0006,1,792,95.31
O00017,P0066,3,3573,417.4
O00018,P0051,3,621,180.2
O00018,P0058,4,924,131.82
O00018,P0052,3,1953,278.57
O00019,P0068,3,1101,114.36
O00019,P0089,1,383,63.91
O00019,P0024,2,888,256.67
O00020,P0064,4,3256,404.31
O00020,P0044,5,975,291.55
O00020,P0020,4,4528,839.22
O00021,P0036,2,2518,222.51
O00022,P0062,2,1616,159.0
O00022,P0059,1,203,27.04
O00023,P0060,3,3465,611.17
O00023,P0051,2,414,73.38
O00023,P0023,1,664,149.95
O00024,P0024,2,888,221.18
O00024,P0006,3,2376,212.95
O00024,P0062,1,808,233.26
O00025,P0066,3,3573,1010.46
O00025,P0037,3,2064,374.92
O00026,P0003,1,1350,224.22
O00026,P0063,2,1234,355.76
O00026,P0004,5,420,39.48
O00027,P0055,2,396,60.94
O00028,P0096,4,4696,401.83
O00028,P0032,4,4180,398.2
O00028,P0008,2,2648,562.34
O00029,P0095,5,3835,442.72
O00029,P0003,5,6750,1971.8
O00030,P0014,1,107,24.68
O00031,P0059,5,1015,200.5
O00031,P0091,5,7215,1720.82
O00032,P0015,3,1356,218.97
O00032,P0035,2,350,97.42
O00032,P0009,2,2918,237.23
O00033,P0005,5,4250,394.62
O00034,P0095,5,3835,407.74
O00034,P0003,2,2700,668.73
O00035,P0013,5,1075,215.03
O00036,P0036,4,5036,1441.23
O00037,P0067,4,5692,809.08
O00037,P0077,5,7480,1234.86
O00037,P0040,2,974,224.25
O00038,P0036,3,3777,588.96
O00038,P0003,4,5400,1001.21
O00038,P0072,2,724,130.27
O00039,P0079,2,1914,213.93
O00039,P0049,2,1634,476.91
O00040,P0007,3,2982,817.15
O00040,P0060,3,3465,841.31
O00041,P0016,3,4311,481.44
O00041,P0062,4,3232,550.35
O00042,P0077,2,2992,889.37
O00042,P0009,2,2918,772.77
O00042,P0038,3,3954,497.34
O00043,P0085,4,5412,1485.04
O00043,P0055,4,792,191.16
O00044,P0038,4,5272,959.37
O00044,P0086,3,1905,289.03
O00045,P0039,2,1884,450.52
O00045,P0017,2,1986,266.37
O00046,P0078,2,2472,506.87
O00046,P0030,5,4030,644.6
O00046,P0073,4,2340,469.42
O00047,P0057,3,3480,771.45
O00047,P0094,2,1188,197.71
O00048,P0045,1,524,104.5
O00048,P0064,4,3256,475.61
O00049,P0052,4,2604,237.47
O00049,P0096,2,2348,362.27
O00049,P0042,2,1808,407.02
O00050,P0021,4,5468,654.35
O00050,P0057,4,4640,395.53
O00050,P0055,2,396,65.31
O00051,P0055,2,396,55.49
O00051,P0060,5,5775,1439.32
O00051,P0036,4,5036,1040.01
O00052,P0062,2,1616,275.5
O00053,P0070,2,1138,308.36
O00053,P0077,2,2992,741.35
O00054,P0043,3,4236,907.68
O00054,P0082,5,3500,688.55
O00055,P0012,1,698,159.68
O00055,P0001,1,1420,140.39
O00055,P0100,1,917,259.0
O00056,P0064,3,2442,653.41
O00057,P0031,3,4293,535.17
O00057,P0009,2,2918,848.41
O00058,P0088,1,1001,160.01
O00058,P0074,3,1899,395.67
O00059,P0079,4,3828,591.41
O00059,P0019,2,2842,408.52
O00060,P0003,5,6750,777.32
O00061,P0100,2,1834,314.24
O00062,P0023,5,3320,564.83
O00062,P0013,5,1075,216.62
O00062,P0035,4,700,163.78
O00063,P0029,2,2812,828.83
O00063,P0024,2,888,248.66
O00064,P0090,1,673,73.92
O00065,P0068,4,1468,239.96
O00065,P0059,2,406,101.0
O00066,P0089,3,1149,327.24
O00066,P0023,5,3320,683.32
O00066,P0071,4,1272,351.93
O00067,P0056,5,4510,701.95
O00067,P0038,3,3954,1175.6
O00068,P0001,1,1420,168.97
O00068,P0022,5,1935,282.55
O00069,P0048,2,2954,308.44
O00069,P0051,2,414,120.7
O00070,P0047,3,1005,237.69
O00070,P0029,1,1406,222.2
