order_id,customer_id,order_date,payment_method
O00001,C0409,2025-05-30,Credit Card
O00002,C0420,2025-07-29,Net Banking
O00003,C0072,2025-11-21,UPI
O00004,C0124,2025-05-10,Debit Card
O00005,C0367,2025-08-05,Net Banking
O00006,C0038,2025-08-18,Cash
O00007,C0246,2025-10-26,Net Banking
O00008,C0274,2025-09-17,Net Banking
O00009,C0279,2025-01-19,UPI
O00010,C0360,2025-10-02,Cash
O00011,C0327,2025-02-13,Credit Card
O00012,C0394,2025-05-08,UPI
O00013,C0086,2025-11-28,Cash
O00014,C0023,2025-10-16,Net Banking
O00015,C0496,2025-06-19,Net Banking
O00016,C0055,2025-01-06,Credit Card
O00017,C0133,2025-04-24,Cash
O00018,C0383,2025-09-23,Cash
O00019,C0298,2025-12-19,Cash
O00020,C0114,2025-08-17,UPI
O00021,C0201,2025-08-26,Cash
O00022,C0354,2025-09-14,Debit Card
O00023,C0177,2025-01-13,Net Banking
O00024,C0054,2025-06-01,Net Banking
O00025,C0472,2025-02-13,Credit Card
O00026,C0426,2025-03-14,UPI
O00027,C0160,2025-06-25,Net Banking
O00028,C0402,2025-04-16,Cash
O00029,C0248,2025-06-28,Net Banking
O00030,C0050,2025-08-13,Net Banking
O00031,C0164,2025-02-04,UPI
O00032,C0023,2025-12-30,Credit Card
O00033,C0012,2025-06-25,Credit Card
O00034,C0347,2025-03-26,Debit Card
O00035,C0265,2025-03-31,Cash
O00036,C0082,2025-06-19,Cash
O00037,C0219,2025-08-25,Debit Card
O00038,C0409,2025-07-27,Debit Card
O00039,C0096,2025-11-24,Net Banking
O00040,C0203,2025-01-15,Cash
O00041,C0453,2025-04-12,Net Banking
O00042,C0304,2025-08-08,Net Banking
O00043,C0003,2025-12-27,Debit Card
O00044,C0106,2025-05-23,Credit Card
O00045,C0296,2025-02-22,Cash
O00046,C0096,2025-07-07,UPI
O00047,C0101,2025-08-23,Credit Card
O00048,C0135,2025-12-10,Net Banking
O00049,C0271,2025-11-24,UPI
O00050,C0306,2025-07-18,Cash
O00051,C0201,2025-10-28,Credit Card
O00052,C0179,2025-06-30,Net Banking
O00053,C0317,2025-03-30,UPI
O00054,C0471,2025-11-11,Cash
O00055,C0044,2025-12-11,Debit Card
O00056,C0161,2025-03-02,Debit Card
O00057,C0157,2025-03-01,Debit Card
O00058,C0192,2025-12-22,Debit Card
O00059,C0262,2025-07-18,Net Banking
O00060,C0306,2025-03-12,Cash
O00061,C0197,2025-08-05,Debit Card
O00062,C0250,2025-11-22,Cash
O00063,C0356,2025-11-27,Debit Card
O00064,C0285,2025-03-27,Net Banking
O00065,C0148,2025-03-13,Debit Card
O00066,C0162,2025-08-19,Cash
O00067,C0028,2025-07-03,Credit Card
O00068,C0249,2025-03-11,Debit Card
O00069,C0418,2025-07-16,Cash
O00070,C0259,2025-12-01,Net Banking
O00071,C0210,2025-12-17,Net Banking
O00072,C0213,2025-12-30,Net Banking
O00073,C0251,2025-03-27,Credit Card
O00074,C0290,2025-01-16,Debit Card
O00075,C0150,2025-01-17,UPI
O00076,C0116,2025-10-03,UPI
O00077,C0087,2025-08-23,Cash
O00078,C0381,2025-09-11,Cash
O00079,C0262,2025-02-27,Cash
O00080,C0059,2025-05-18,Cash
O00081,C0422,2025-07-07,Cash
O00082,C0422,2025-01-22,Net Banking
O00083,C0280,2025-04-22,Net Banking
O00084,C0053,2025-12-01,Debit Card
O00085,C0153,2025-01-17,Net Banking
O00086,C0135,2025-06-28,Credit Card
O00087,C0225,2025-03-02,Debit Card
O00088,C0108,2025-10-29,UPI
O00089,C0441,2025-12-30,Cash
O00090,C0324,2025-08-08,Debit Card
O00091,C0316,2025-03-13,Debit Card
O00092,C0417,2025-04-16,Credit Card
O00093,C0292,2025-06-29,Cash
O00094,C0144,2025-11-02,Cash
O00095,C0087,2025-06-15,UPI
O00096,C0149,2025-10-21,UPI
O00097,C0488,2025-09-21,Credit Card
O00098,C0070,2025-07-30,Credit Card
O00099,C0142,2025-12-02,Debit Card
O00100,C0360,2025-03-09,Debit Card
O00101,C0075,2025-12-31,UPI
O00102,C0425,2025-05-07,Net Banking
O00103,C0251,2025-03-14,Cash
O00104,C0324,2025-05-18,Net Banking
O00105,C0193,2025-08-20,Credit Card
O00106,C0325,2025-02-17,Net Banking
O00107,C0264,2025-05-23,UPI
O00108,C0233,2025-09-07,UPI
O00109,C0298,2025-01-02,Credit Card
O00110,C0375,2025-08-23,UPI
O00111,C0436,2025-02-02,Cash
O00112,C0204,2025-04-22,Net Banking
O00113,C0423,2025-04-19,Net Banking
O00114,C0138,2025-06-15,UPI
O00115,C0173,2025-10-08,Cash
O00116,C0067,2025-10-17,Net Banking
O00117,C0404,2025-06-25,Credit Card
O00118,C0024,2025-02-20,Net Banking
O00119,C0009,2025-03-05,Debit Card
O00120,C0226,2025-08-22,Credit Card
O00121,C0491,2025-08-08,Debit Card
O00122,C0353,2025-03-09,UPI
O00123,C0082,2025-05-21,Credit Card
O00124,C0336,2025-07-04,UPI
O00125,C0043,2025-07-10,Debit Card
O00126,C0027,2025-07-22,UPI
O00127,C0372,2025-12-25,Debit Card
O00128,C0220,2025-12-02,Credit Card
O00129,C0361,2025-02-18,Credit Card
